"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Anhée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Dinant 73, 5537 Anhée,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anlier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Gare 21, 6720 Habay,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anloy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Roch 16A, 6850 Paliseul,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Annevoie-Rouillon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Jardins d'Annevoie 39, 5537 Anhée,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Ans","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Yser 82, 4430 Ans,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anseremme","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Anseroeul","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. d'Anseroeul 16, 7750 Mont-de-l'Enclus,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anthée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Place Dr Jacques 10, 5520 Onhaye,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Antheit","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Wavre 29/1, 4520 Wanze,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anthisnes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Ctre 23, 4160 Anthisnes,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Antoing","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Rue 72, 7640 Antoing,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Antwerpen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Anvaing","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anzegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Appels","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Appelterre-Eichem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Arbre (Hainaut)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 46A, 1320 Beauvechain,BEL","18 km","18 km","Created 6 records in table ""Full_Table"""
"Arbre (Namur)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pont des Ardennes 1, 5100 Namur,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Arbrefontaine","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Les Marottes 38, 4990 Lierneux,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Arc-Ainières","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Archennes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Wavre 151, 1390 Grez-Doiceau,BEL","24 km","24 km","Created 10 records in table ""Full_Table"""
"Arc-Wattripont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 1, 7911 Frasnes-lez-Anvaing,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Ardooie","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Arendonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Argenteau","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Pass. d'Eau 1D, 4681 Oupeye,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Arlon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Gare 51, 6700 Arlon,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Arquennes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Samme 24, 7181 Seneffe,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Arsimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Lieutenant Lemercier 26, 5060 Sambreville,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Arville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Rivage 31, 6870 Saint-Hubert,BEL","18 km","18 km","Created 9 records in table ""Full_Table"""
"As","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","24 km","24 km",
"Aspelare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Asper","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Asquillies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Émile Wauquier 58, 7040,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Assebroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","24 km","24 km",
"Assenede","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Assenois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Tannerie, 6860 Léglise,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Assent","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Assesse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Luxembourg 7, 5336,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Astene","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","24 km","24 km",
"Ath","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Bruxelles 60, 7800 Ath,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Athis","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. du Haut Pays 79, 7387,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Athus","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Eglise 14, 6791 Aubange,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Attenhoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Attenrode","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Attert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Potiers 300, 6717 Attert,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Attre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Bruxelles 60, 7800 Ath,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aubange","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/6790 Aubange,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aubechies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Place 2, 7972 Beloeil,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aubel","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Battice 140, 4880 Aubel,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aublain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Adolphe Gouttier 26, 5660 Couvin,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Auby-sur-Semois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Voie St Remacle 13, 6880 Bertrix,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Auderghem","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Audregnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Quiévrain,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aulnois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Avenir 17, 7040 Quévy,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Autelbas","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Gare 51, 6700 Arlon,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Autre-Eglise","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gare d'Autre-Eglise 3, 1367 Ramillies,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Autreppe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Renault Moulin 2, 7387 Honnelles,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Auvelais","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Bois Sainte-Marie 184, 5060 Sambreville,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Ave-et-Auffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Wellin 106, 5580 Rochefort,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Avekapelle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Avelgem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Avennes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Averbode","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Avernas-le-Bauduin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Hesbaye 1b, 4280 Hannut,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Avin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 103C, 4280 Hannut,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Awans","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Bruxelles 40, 4342 Awans,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Awenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Rue 21, 6870 Saint-Hubert,BEL","18 km","18 km","Created 3 records in table ""Full_Table"""
"Awirs","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Awirs 41, 4400 Flémalle,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aye","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Prte Haute 4, 6900 Marche-en-Famenne,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Ayeneux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Résistance 520, 4630 Soumagne,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baaigem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Baal","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Baardegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Baarle-Hertog","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Baasrode","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bachte-Maria-Leerne","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Baelen (Liège)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Dolhain 16C, 4837 Baelen,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bagimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Henri de la Lindi 5, 5550 Vresse-sur-Semois,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Baileux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Rocroi 19, 6464 Chimay,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bailièvre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Entrée Csf, Bd Louise 18, 6460 Chimay,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baillamont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Roch 16A, 6850 Paliseul,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bailleul","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/33 Pl. Charles de Gaulle, 59270 Bailleul, France,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baillonville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Marche 6, 5377 Somme-Leuze,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baisieux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 44, 7380 Quiévrain,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baisy-Thy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Villers-la-Ville 82, 1470 Genappe,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Balâtre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Balâtre 120, 5190 Jemeppe-sur-Sambre,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Balegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Balen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bambrugge","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bande","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/RN 4, 6951 Nassogne,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Barbençon","barbençon est situé en wallonie, plus précisément dans la province de hainaut.","wallonie",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Barchon","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue sur les Heids 52, 4671 Blegny,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baronville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dinant 4, 5570 Beauraing,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Barry","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Royale 82, 7500 Tournai,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Barvaux-Condroz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Dinant 2, 5370,BEL","18 km","18 km","Created 1 records in table ""Full_Table"""
"Barvaux-sur-Ourthe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Rue 36, 6940 Durbuy,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Basècles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ecoles 1, 7971 Beloeil,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Bas-Oha","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Wavre 29/1, 4520 Wanze,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Basse-Bodeux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Huy 30, 4983 Trois-Ponts,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Bassenge","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Commerce 2, 4690 Bassenge,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bassevelde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bassilly","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Bassilly 17, 7830 Silly,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bastogne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. d'Arlon 4, 6600 Bastogne,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bas-Warneton","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Gare 4, 7780 Comines-Warneton,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Batsheers","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Battice","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Ctre 18, 4651 Herve,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Battignies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Robiano 13, 7130 Binche,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baudour","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de la Résistance 1, 7331 Saint-Ghislain,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Bauffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Delmotte 44, 7870 Lens,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Baugnies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Route 32b, 7604 Péruwelz,BEL","18 km","18 km","Created 1 records in table ""Full_Table"""
"Baulers","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Progrès 6, 1400 Nivelles,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Bavegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Bavikhove","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Bazel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Beaufays","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Voie de l'Air Pur 162, 4052 Chaudfontaine,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Beaumont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Place 1, 6500 Beaumont,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Beauraing","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dinant 4, 5570 Beauraing,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Beausaint","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Taillet 3, 6980 La Roche-en-Ardenne,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Beauvechain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 58, 1320 Beauvechain,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Beauvoorde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
